Early embryo	Middle embryo	Late embryo	Larva	Pupae.Adult
FBgn0030474	FBgn0004102	FBgn0030961	FBgn0261633	FBgn0262792
FBgn0025571	FBgn0019809	FBgn0031702	FBgn0032639	FBgn0040510
FBgn0030738	FBgn0263037	FBgn0029881	FBgn0031512	FBgn0030696
FBgn0039743	FBgn0261963	FBgn0036196	FBgn0003046	FBgn0050462
FBgn0036005	FBgn0040465	FBgn0010397	FBgn0037677	FBgn0036808
FBgn0025830	FBgn0033555	FBgn0036698	FBgn0003373	FBgn0025573
FBgn0026149	FBgn0003313	FBgn0046113	FBgn0002562	FBgn0033238
FBgn0011741	FBgn0020251	FBgn0030234	FBgn0053225	FBgn0262020
FBgn0038464	FBgn0085831	FBgn0038017	FBgn0038721	FBgn0040356
FBgn0040534	FBgn0034224	FBgn0260386	FBgn0038627	FBgn0053287
FBgn0032348	FBgn0010105	FBgn0039883	FBgn0038547	FBgn0052988
FBgn0052318	FBgn0031454	FBgn0034053	FBgn0038523	FBgn0051327
FBgn0262647	FBgn0037121	FBgn0034056	FBgn0031939	FBgn0085462
FBgn0015615	FBgn0032509	FBgn0031530	FBgn0000053	FBgn0036153
FBgn0032030	FBgn0033691	FBgn0031239	FBgn0033809	FBgn0031720
FBgn0004860	FBgn0002609	FBgn0036377	FBgn0035438	FBgn0034732
FBgn0026181	FBgn0033375	FBgn0010434	FBgn0031515	FBgn0050356
FBgn0262866	FBgn0259704	FBgn0263030	FBgn0053459	FBgn0038445
FBgn0036828	FBgn0004394	FBgn0041097	FBgn0040759	FBgn0260453
FBgn0031252	FBgn0261429	FBgn0053288	FBgn0051698	FBgn0261706
FBgn0002552	FBgn0021875	FBgn0263118	FBgn0033222	FBgn0035034
FBgn0024887	FBgn0000492	FBgn0038205	FBgn0030443	FBgn0051415
FBgn0028700	FBgn0025679	FBgn0004858	FBgn0030310	FBgn0085479
FBgn0050105	FBgn0085193	FBgn0036433	FBgn0033742	FBgn0050365
FBgn0039767	FBgn0013725	FBgn0260487	FBgn0034219	FBgn0250827
FBgn0037207	FBgn0005592	FBgn0039728	FBgn0038509	FBgn0039797
FBgn0003449	FBgn0035158	FBgn0036605	FBgn0003375	FBgn0260761
FBgn0030434	FBgn0083046	FBgn0037836	FBgn0036782	FBgn0037325
FBgn0053145	FBgn0036786	FBgn0036013	FBgn0051780	FBgn0058064
FBgn0034086	FBgn0041184	FBgn0036601	FBgn0050090	FBgn0262025
FBgn0000588	FBgn0042106	FBgn0030248	FBgn0259716	FBgn0051358
FBgn0027259	FBgn0025627	FBgn0039075	FBgn0033777	FBgn0033190
FBgn0039654	FBgn0035687	FBgn0037410	FBgn0002564	FBgn0035800
FBgn0027495	FBgn0036299	FBgn0260955	FBgn0000455	FBgn0032424
FBgn0033554	FBgn0004009	FBgn0030590	FBgn0262529	FBgn0052713
FBgn0260991	FBgn0013469	FBgn0016032	FBgn0015222	FBgn0050275
FBgn0035088	FBgn0039676	FBgn0037408	FBgn0038365	FBgn0262098
FBgn0015929	FBgn0263042	FBgn0036382	FBgn0262605	FBgn0051404
FBgn0010328	FBgn0037680	FBgn0031634	FBgn0039015	FBgn0028913
FBgn0022724	FBgn0028991	FBgn0030011	FBgn0032669	FBgn0050364
FBgn0034945	FBgn0027287	FBgn0035903	FBgn0034413	FBgn0262882
FBgn0026324	FBgn0036188	FBgn0083951	FBgn0040321	FBgn0052986
FBgn0260010	FBgn0000137	FBgn0038851	FBgn0037560	FBgn0029658
FBgn0034402	FBgn0000576	FBgn0086758	FBgn0000052	FBgn0038266
FBgn0034430	FBgn0035765	FBgn0051201	FBgn0032733	FBgn0031240
FBgn0027490	FBgn0022023	FBgn0030167	FBgn0085465	FBgn0052487
FBgn0037026	FBgn0034392	FBgn0054047	FBgn0035169	FBgn0050378
FBgn0037469	FBgn0041160	FBgn0050195	FBgn0260429	FBgn0038775
FBgn0003310	FBgn0029939	FBgn0053988	FBgn0035790	FBgn0050293
FBgn0014861	FBgn0028999	FBgn0260971	FBgn0041710	FBgn0031292
FBgn0260723	FBgn0010333	FBgn0033850	FBgn0010531	FBgn0262681
FBgn0260398	FBgn0021776	FBgn0033791	FBgn0262024	FBgn0032269
FBgn0032169	FBgn0034346	FBgn0025686	FBgn0003378	FBgn0052463
FBgn0261954	FBgn0015338	FBgn0025692	FBgn0033373	FBgn0051245
FBgn0004956	FBgn0052486	FBgn0029692	FBgn0037515	FBgn0033863
FBgn0003346	FBgn0037108	FBgn0004777	FBgn0038717	FBgn0263114
FBgn0030571	FBgn0011674	FBgn0051005	FBgn0015808	FBgn0054012
FBgn0032290	FBgn0039218	FBgn0030161	FBgn0032727	FBgn0034105
FBgn0010382	FBgn0004567	FBgn0039064	FBgn0260228	FBgn0026395
FBgn0038767	FBgn0035423	FBgn0259162	FBgn0050424	FBgn0035124
FBgn0019949	FBgn0001147	FBgn0260793	FBgn0051827	FBgn0051682
FBgn0033122	FBgn0043853	FBgn0011236	FBgn0033798	FBgn0261996
FBgn0003482	FBgn0004595	FBgn0050419	FBgn0040718	FBgn0051787
