Early embryo	Middle embryo	Late embryo
ENSMUSG00000038949	ENSMUSG00000027967	ENSMUSG00000020101
ENSMUSG00000026882	ENSMUSG00000032251	ENSMUSG00000020717
ENSMUSG00000051832	ENSMUSG00000021466	ENSMUSG00000053044
ENSMUSG00000097847	ENSMUSG00000021464	ENSMUSG00000022096
ENSMUSG00000056821	ENSMUSG00000041734	ENSMUSG00000076745
ENSMUSG00000047227	ENSMUSG00000001661	ENSMUSG00000053303
ENSMUSG00000044072	ENSMUSG00000040524	ENSMUSG00000087467
ENSMUSG00000027297	ENSMUSG00000038236	ENSMUSG00000023013
ENSMUSG00000096995	ENSMUSG00000045333	ENSMUSG00000076474
ENSMUSG00000098188	ENSMUSG00000059921	ENSMUSG00000048643
ENSMUSG00000076934	ENSMUSG00000048636	ENSMUSG00000000204
ENSMUSG00000036196	ENSMUSG00000039328	ENSMUSG00000018916
ENSMUSG00000087086	ENSMUSG00000094638	ENSMUSG00000027485
ENSMUSG00000043648	ENSMUSG00000067377	ENSMUSG00000062278
ENSMUSG00000048411	ENSMUSG00000033952	ENSMUSG00000031286
ENSMUSG00000076940	ENSMUSG00000054116	ENSMUSG00000024011
ENSMUSG00000047444	ENSMUSG00000047648	ENSMUSG00000087139
ENSMUSG00000026135	ENSMUSG00000085269	ENSMUSG00000071772
ENSMUSG00000086056	ENSMUSG00000020160	ENSMUSG00000096534
ENSMUSG00000087512	ENSMUSG00000038677	ENSMUSG00000024401
ENSMUSG00000053185	ENSMUSG00000057156	ENSMUSG00000094951
ENSMUSG00000082370	ENSMUSG00000069310	ENSMUSG00000075205
ENSMUSG00000035963	ENSMUSG00000096669	ENSMUSG00000095981
ENSMUSG00000092515	ENSMUSG00000090872	ENSMUSG00000095571
ENSMUSG00000041644	ENSMUSG00000074403	ENSMUSG00000029700
ENSMUSG00000096141	ENSMUSG00000069312	ENSMUSG00000081166
ENSMUSG00000085427	ENSMUSG00000074102	ENSMUSG00000093942
ENSMUSG00000068167	ENSMUSG00000014075	ENSMUSG00000051493
ENSMUSG00000083925	ENSMUSG00000045045	ENSMUSG00000076479
ENSMUSG00000033004	ENSMUSG00000095253	ENSMUSG00000095127
ENSMUSG00000045036	ENSMUSG00000039218	ENSMUSG00000095565
ENSMUSG00000091740	ENSMUSG00000085749	ENSMUSG00000031495
ENSMUSG00000022089	ENSMUSG00000038256	ENSMUSG00000094134
ENSMUSG00000024122	ENSMUSG00000085612	ENSMUSG00000048693
ENSMUSG00000083969	ENSMUSG00000032228	ENSMUSG00000096336
ENSMUSG00000042976	ENSMUSG00000028370	ENSMUSG00000094080
ENSMUSG00000020673	ENSMUSG00000022961	ENSMUSG00000058820
ENSMUSG00000067931	ENSMUSG00000090855	ENSMUSG00000060742
ENSMUSG00000086899	ENSMUSG00000096996	ENSMUSG00000059990
ENSMUSG00000069713	ENSMUSG00000027593	ENSMUSG00000095286
ENSMUSG00000076937	ENSMUSG00000043015	ENSMUSG00000023031
ENSMUSG00000072511	ENSMUSG00000031736	ENSMUSG00000058997
ENSMUSG00000050377	ENSMUSG00000097588	ENSMUSG00000058499
ENSMUSG00000086487	ENSMUSG00000089651	ENSMUSG00000039145
ENSMUSG00000038347	ENSMUSG00000085754	ENSMUSG00000090356
ENSMUSG00000094944	ENSMUSG00000063358	ENSMUSG00000036813
ENSMUSG00000025225	ENSMUSG00000089829	ENSMUSG00000028269
ENSMUSG00000055493	ENSMUSG00000020105	ENSMUSG00000069721
ENSMUSG00000021271	ENSMUSG00000042258	ENSMUSG00000026725
ENSMUSG00000097641	ENSMUSG00000033458	ENSMUSG00000028927
ENSMUSG00000026077	ENSMUSG00000040148	ENSMUSG00000022383
ENSMUSG00000058934	ENSMUSG00000093390	ENSMUSG00000043740
ENSMUSG00000090107	ENSMUSG00000094143	ENSMUSG00000026560
ENSMUSG00000044581	ENSMUSG00000030525	ENSMUSG00000095593
ENSMUSG00000094918	ENSMUSG00000059878	ENSMUSG00000078668
ENSMUSG00000089048	ENSMUSG00000097834	ENSMUSG00000076467
ENSMUSG00000082946	ENSMUSG00000046057	ENSMUSG00000074109
ENSMUSG00000011158	ENSMUSG00000056209	ENSMUSG00000054757
ENSMUSG00000053508	ENSMUSG00000028402	ENSMUSG00000051439
ENSMUSG00000081690	ENSMUSG00000043668	ENSMUSG00000091705
ENSMUSG00000048249	ENSMUSG00000018476	ENSMUSG00000059089
ENSMUSG00000067577	ENSMUSG00000069273	ENSMUSG00000081006
ENSMUSG00000053161	ENSMUSG00000090697	ENSMUSG00000085277
ENSMUSG00000090690	ENSMUSG00000084678	ENSMUSG00000028730
ENSMUSG00000022056	ENSMUSG00000059248	ENSMUSG00000037095
ENSMUSG00000022768	ENSMUSG00000068959	ENSMUSG00000014543
ENSMUSG00000002489	ENSMUSG00000092309	ENSMUSG00000085411
ENSMUSG00000087066	ENSMUSG00000021835	ENSMUSG00000069582
ENSMUSG00000058248	ENSMUSG00000077222	ENSMUSG00000092586
ENSMUSG00000090964	ENSMUSG00000079402	ENSMUSG00000095577
ENSMUSG00000018012	ENSMUSG00000086944	ENSMUSG00000050366
ENSMUSG00000025081	ENSMUSG00000038022	ENSMUSG00000050704
ENSMUSG00000085336	ENSMUSG00000035232	ENSMUSG00000042189
ENSMUSG00000054604	ENSMUSG00000055799	ENSMUSG00000019232
ENSMUSG00000021254	ENSMUSG00000097002	ENSMUSG00000026405
ENSMUSG00000092009	ENSMUSG00000035274	ENSMUSG00000085742
ENSMUSG00000073551	ENSMUSG00000090026	ENSMUSG00000097636
ENSMUSG00000095804	ENSMUSG00000000690	ENSMUSG00000067229
ENSMUSG00000020744	ENSMUSG00000029913	ENSMUSG00000078598
ENSMUSG00000097273	ENSMUSG00000086255	ENSMUSG00000059934
ENSMUSG00000015443	ENSMUSG00000009097	ENSMUSG00000047492
ENSMUSG00000039628	ENSMUSG00000032624	ENSMUSG00000031449
ENSMUSG00000062939	ENSMUSG00000040467	ENSMUSG00000053862
ENSMUSG00000086821	ENSMUSG00000047909	ENSMUSG00000024694
ENSMUSG00000054136	ENSMUSG00000025666	ENSMUSG00000024664
ENSMUSG00000095300	ENSMUSG00000091563	ENSMUSG00000048399
ENSMUSG00000044726	ENSMUSG00000033282	ENSMUSG00000020713
ENSMUSG00000097344	ENSMUSG00000047003	ENSMUSG00000049133
ENSMUSG00000095318	ENSMUSG00000021368	ENSMUSG00000076475
