Cleav.Blastula	Gastrula	Segmentation	Pharyngula	Larva	Juvenile	Adult
ENSDARG00000080001	ENSDARG00000041203	ENSDARG00000071684	ENSDARG00000091992	ENSDARG00000092039		
ENSDARG00000086463	ENSDARG00000041226	ENSDARG00000073754	ENSDARG00000092359	ENSDARG00000092099		
ENSDARG00000086494	ENSDARG00000041243	ENSDARG00000074023	ENSDARG00000093420	ENSDARG00000092759		
ENSDARG00000086505	ENSDARG00000041333	ENSDARG00000074597	ENSDARG00000093852	ENSDARG00000092792		
ENSDARG00000086626	ENSDARG00000041341	ENSDARG00000074677	ENSDARG00000094128	ENSDARG00000093105		
ENSDARG00000086639	ENSDARG00000041345	ENSDARG00000075249	ENSDARG00000094775	ENSDARG00000093286		
ENSDARG00000087343	ENSDARG00000041359	ENSDARG00000075467	ENSDARG00000095417	ENSDARG00000093856		
ENSDARG00000087417	ENSDARG00000041373	ENSDARG00000075474	ENSDARG00000095557	ENSDARG00000094074		
ENSDARG00000087424	ENSDARG00000041430	ENSDARG00000075538	ENSDARG00000095651	ENSDARG00000094515		
ENSDARG00000087491	ENSDARG00000041524	ENSDARG00000075564	ENSDARG00000095715	ENSDARG00000094714		
ENSDARG00000087749	ENSDARG00000041607	ENSDARG00000075625	ENSDARG00000095743	ENSDARG00000094860		
ENSDARG00000088180	ENSDARG00000041830	ENSDARG00000075819	ENSDARG00000095906	ENSDARG00000095009		
ENSDARG00000088507	ENSDARG00000041853	ENSDARG00000075954		ENSDARG00000095656		
ENSDARG00000088699	ENSDARG00000041875	ENSDARG00000076116				
ENSDARG00000088768	ENSDARG00000041887	ENSDARG00000076528				
ENSDARG00000088857	ENSDARG00000041908	ENSDARG00000076532				
ENSDARG00000089345	ENSDARG00000042004	ENSDARG00000076571				
ENSDARG00000089635	ENSDARG00000042094	ENSDARG00000076594				
ENSDARG00000089700	ENSDARG00000042122	ENSDARG00000076799				
ENSDARG00000089824	ENSDARG00000042137	ENSDARG00000076857				
ENSDARG00000089981	ENSDARG00000042236	ENSDARG00000076895				
ENSDARG00000089987	ENSDARG00000042485	ENSDARG00000076904				
ENSDARG00000090569	ENSDARG00000042492	ENSDARG00000077110				
ENSDARG00000090785	ENSDARG00000042507	ENSDARG00000077253				
ENSDARG00000091342	ENSDARG00000042520	ENSDARG00000077256				
ENSDARG00000091536	ENSDARG00000042534	ENSDARG00000077298				
ENSDARG00000091679	ENSDARG00000042590	ENSDARG00000077456				
ENSDARG00000091810	ENSDARG00000042642	ENSDARG00000077739				
ENSDARG00000091841	ENSDARG00000042660	ENSDARG00000078034				
ENSDARG00000091872	ENSDARG00000042698	ENSDARG00000078085				
ENSDARG00000093176	ENSDARG00000042851	ENSDARG00000078441				
ENSDARG00000093182	ENSDARG00000042899	ENSDARG00000078473				
ENSDARG00000093192	ENSDARG00000043126	ENSDARG00000078518				
ENSDARG00000093204	ENSDARG00000043128	ENSDARG00000078561				
ENSDARG00000093306	ENSDARG00000043209	ENSDARG00000078680				
ENSDARG00000093675	ENSDARG00000043271	ENSDARG00000078725				
ENSDARG00000093901	ENSDARG00000043304	ENSDARG00000079009				
ENSDARG00000094106	ENSDARG00000043442	ENSDARG00000079326				
ENSDARG00000094249	ENSDARG00000043443	ENSDARG00000079364				
ENSDARG00000094725	ENSDARG00000043446	ENSDARG00000079964				
ENSDARG00000094908	ENSDARG00000043451	ENSDARG00000086222				
ENSDARG00000095949	ENSDARG00000043601	ENSDARG00000086268				
	ENSDARG00000043631	ENSDARG00000086302				
	ENSDARG00000043680	ENSDARG00000086768				
	ENSDARG00000043854	ENSDARG00000087187				
	ENSDARG00000043960	ENSDARG00000087194				
	ENSDARG00000043976	ENSDARG00000088087				
	ENSDARG00000044009	ENSDARG00000088089				
	ENSDARG00000044059	ENSDARG00000088195				
	ENSDARG00000044213	ENSDARG00000088232				
	ENSDARG00000044341	ENSDARG00000088346				
	ENSDARG00000044355	ENSDARG00000088851				
	ENSDARG00000044380	ENSDARG00000088874				
	ENSDARG00000044405	ENSDARG00000089111				
	ENSDARG00000044431	ENSDARG00000089140				
	ENSDARG00000044484	ENSDARG00000089159				
	ENSDARG00000044485	ENSDARG00000089235				
	ENSDARG00000044511	ENSDARG00000089302				
	ENSDARG00000044685	ENSDARG00000089435				
	ENSDARG00000044755	ENSDARG00000089574				
	ENSDARG00000044760	ENSDARG00000089691				
	ENSDARG00000044774	ENSDARG00000089701				
	ENSDARG00000044803	ENSDARG00000089790				
	ENSDARG00000044820	ENSDARG00000089806				
	ENSDARG00000044938	ENSDARG00000090150				
	ENSDARG00000045066	ENSDARG00000090190				
	ENSDARG00000045067	ENSDARG00000090297				
	ENSDARG00000045155	ENSDARG00000090818				
	ENSDARG00000045254	ENSDARG00000090830				
	ENSDARG00000045371	ENSDARG00000090874				
	ENSDARG00000045421	ENSDARG00000091511				
	ENSDARG00000045493	ENSDARG00000091550				
	ENSDARG00000045518	ENSDARG00000092093				
	ENSDARG00000045525	ENSDARG00000092164				
	ENSDARG00000045565	ENSDARG00000092246				
	ENSDARG00000045628	ENSDARG00000092658				
	ENSDARG00000045692	ENSDARG00000092947				
	ENSDARG00000045755	ENSDARG00000093521				
	ENSDARG00000045776	ENSDARG00000093874				
	ENSDARG00000045843	ENSDARG00000094324				
	ENSDARG00000045877	ENSDARG00000094371				
	ENSDARG00000045885	ENSDARG00000094881				
	ENSDARG00000045914	ENSDARG00000095019				
	ENSDARG00000046139	ENSDARG00000095185				
	ENSDARG00000046148	ENSDARG00000095190				
	ENSDARG00000051798					
	ENSDARG00000051886					
	ENSDARG00000052222					
	ENSDARG00000052344					
	ENSDARG00000052348					
	ENSDARG00000052438					
	ENSDARG00000052480					
	ENSDARG00000052536					
	ENSDARG00000052553					
	ENSDARG00000052728					
	ENSDARG00000052731					
	ENSDARG00000052741					
	ENSDARG00000052856					
	ENSDARG00000052907					
	ENSDARG00000052914					
	ENSDARG00000052975					
	ENSDARG00000053255					
	ENSDARG00000053395					
	ENSDARG00000053570					
	ENSDARG00000053800					
	ENSDARG00000053912					
	ENSDARG00000053918					
	ENSDARG00000053946					
	ENSDARG00000053956					
	ENSDARG00000054010					
	ENSDARG00000054154					
	ENSDARG00000054201					
	ENSDARG00000054290					
	ENSDARG00000054540					
	ENSDARG00000054611					
	ENSDARG00000054707					
	ENSDARG00000054778					
	ENSDARG00000054804					
	ENSDARG00000054842					
	ENSDARG00000054894					
	ENSDARG00000054903					
	ENSDARG00000054946					
	ENSDARG00000054980					
	ENSDARG00000055022					
	ENSDARG00000055040					
	ENSDARG00000055043					
	ENSDARG00000055046					
	ENSDARG00000055080					
	ENSDARG00000055120					
	ENSDARG00000055357					
	ENSDARG00000055381					
	ENSDARG00000055389					
	ENSDARG00000055536					
	ENSDARG00000055538					
	ENSDARG00000055630					
	ENSDARG00000055635					
	ENSDARG00000055639					
	ENSDARG00000055678					
	ENSDARG00000055817					
	ENSDARG00000055885					
	ENSDARG00000056012					
	ENSDARG00000056043					
	ENSDARG00000056127					
	ENSDARG00000056152					
	ENSDARG00000056184					
	ENSDARG00000056324					
	ENSDARG00000056338					
	ENSDARG00000056447					
	ENSDARG00000056561					
	ENSDARG00000056618					
	ENSDARG00000056621					
	ENSDARG00000056678					
	ENSDARG00000056720					
	ENSDARG00000056741					
	ENSDARG00000056914					
	ENSDARG00000056954					
	ENSDARG00000056986					
	ENSDARG00000056995					
	ENSDARG00000057085					
	ENSDARG00000057105					
	ENSDARG00000057323					
	ENSDARG00000057324					
	ENSDARG00000057465					
	ENSDARG00000057484					
	ENSDARG00000057583					
	ENSDARG00000057633					
	ENSDARG00000057648					
	ENSDARG00000057691					
	ENSDARG00000057726					
	ENSDARG00000057813					
	ENSDARG00000057830					
	ENSDARG00000057854					
	ENSDARG00000057890					
	ENSDARG00000057940					
	ENSDARG00000057983					
	ENSDARG00000058030					
	ENSDARG00000058089					
	ENSDARG00000058127					
	ENSDARG00000058226					
	ENSDARG00000058243					
	ENSDARG00000058257					
	ENSDARG00000058292					
	ENSDARG00000058337					
	ENSDARG00000058366					
	ENSDARG00000058392					
	ENSDARG00000058454					
	ENSDARG00000058488					
	ENSDARG00000058538					
	ENSDARG00000058660					
	ENSDARG00000058780					
	ENSDARG00000058800					
	ENSDARG00000058818					
	ENSDARG00000058917					
	ENSDARG00000058943					
	ENSDARG00000058992					
	ENSDARG00000059073					
	ENSDARG00000059075					
	ENSDARG00000059123					
	ENSDARG00000059246					
	ENSDARG00000059303					
	ENSDARG00000059327					
	ENSDARG00000059337					
	ENSDARG00000059357					
	ENSDARG00000059390					
	ENSDARG00000059484					
	ENSDARG00000059606					
	ENSDARG00000059680					
	ENSDARG00000059711					
	ENSDARG00000059718					
	ENSDARG00000059751					
	ENSDARG00000059792					
	ENSDARG00000059862					
	ENSDARG00000059866					
	ENSDARG00000059906					
	ENSDARG00000060027					
	ENSDARG00000060315					
	ENSDARG00000060318					
	ENSDARG00000060438					
	ENSDARG00000060695					
	ENSDARG00000060755					
	ENSDARG00000060830					
	ENSDARG00000060977					
	ENSDARG00000061052					
	ENSDARG00000061062					
	ENSDARG00000061070					
	ENSDARG00000061120					
	ENSDARG00000061196					
	ENSDARG00000061268					
	ENSDARG00000061400					
	ENSDARG00000061773					
	ENSDARG00000061774					
	ENSDARG00000061963					
	ENSDARG00000062000					
	ENSDARG00000062173					
	ENSDARG00000062266					
	ENSDARG00000062267					
	ENSDARG00000062472					
	ENSDARG00000062502					
	ENSDARG00000062506					
	ENSDARG00000062632					
	ENSDARG00000062693					
	ENSDARG00000062749					
	ENSDARG00000062972					
	ENSDARG00000062997					
	ENSDARG00000063161					
	ENSDARG00000063229					
	ENSDARG00000063417					
	ENSDARG00000063538					
	ENSDARG00000063661					
	ENSDARG00000063731					
	ENSDARG00000067524					
	ENSDARG00000067537					
	ENSDARG00000067719					
	ENSDARG00000067814					
	ENSDARG00000067981					
	ENSDARG00000068013					
	ENSDARG00000068175					
	ENSDARG00000068250					
	ENSDARG00000068572					
	ENSDARG00000069028					
	ENSDARG00000069029					
	ENSDARG00000069054					
	ENSDARG00000069092					
	ENSDARG00000069289					
	ENSDARG00000069342					
	ENSDARG00000069373					
	ENSDARG00000069379					
	ENSDARG00000069382					
	ENSDARG00000069422					
	ENSDARG00000069431					
	ENSDARG00000069595					
	ENSDARG00000069700					
	ENSDARG00000069966					
	ENSDARG00000070019					
	ENSDARG00000070107					
	ENSDARG00000070161					
	ENSDARG00000070284					
	ENSDARG00000070432					
	ENSDARG00000070434					
	ENSDARG00000070474					
	ENSDARG00000070475					
	ENSDARG00000070485					
	ENSDARG00000070516					
	ENSDARG00000070535					
	ENSDARG00000070545					
	ENSDARG00000070603					
	ENSDARG00000070658					
	ENSDARG00000070675					
	ENSDARG00000070698					
	ENSDARG00000070713					
	ENSDARG00000070800					
	ENSDARG00000070833					
	ENSDARG00000070898					
	ENSDARG00000070959					
	ENSDARG00000071005					
	ENSDARG00000071381					
	ENSDARG00000071714					
	ENSDARG00000073710					
	ENSDARG00000073779					
	ENSDARG00000073808					
	ENSDARG00000074151					
	ENSDARG00000074451					
	ENSDARG00000074617					
	ENSDARG00000074624					
	ENSDARG00000074955					
	ENSDARG00000075211					
	ENSDARG00000075323					
	ENSDARG00000075380					
	ENSDARG00000075559					
	ENSDARG00000075831					
	ENSDARG00000076082					
	ENSDARG00000076088					
	ENSDARG00000076104					
	ENSDARG00000076116					
	ENSDARG00000076227					
	ENSDARG00000076238					
	ENSDARG00000076252					
	ENSDARG00000076271					
	ENSDARG00000076283					
	ENSDARG00000076520					
	ENSDARG00000076525					
	ENSDARG00000076526					
	ENSDARG00000076571					
	ENSDARG00000076844					
	ENSDARG00000077038					
	ENSDARG00000077044					
	ENSDARG00000077060					
	ENSDARG00000077116					
	ENSDARG00000077126					
	ENSDARG00000077226					
	ENSDARG00000077382					
	ENSDARG00000077469					
	ENSDARG00000077536					
	ENSDARG00000077732					
	ENSDARG00000077828					
	ENSDARG00000077836					
	ENSDARG00000077926					
	ENSDARG00000078041					
	ENSDARG00000078138					
	ENSDARG00000078140					
	ENSDARG00000078418					
	ENSDARG00000078476					
	ENSDARG00000078550					
	ENSDARG00000078801					
	ENSDARG00000078952					
	ENSDARG00000078954					
	ENSDARG00000078966					
	ENSDARG00000078986					
	ENSDARG00000079010					
	ENSDARG00000079313					
	ENSDARG00000079328					
	ENSDARG00000079372					
	ENSDARG00000079717					
	ENSDARG00000079725					
	ENSDARG00000079760					
	ENSDARG00000080000					
	ENSDARG00000086197					
	ENSDARG00000086261					
	ENSDARG00000086411					
	ENSDARG00000086839					
	ENSDARG00000087146					
	ENSDARG00000087419					
	ENSDARG00000087779					
	ENSDARG00000087950					
	ENSDARG00000088272					
	ENSDARG00000088489					
	ENSDARG00000088804					
	ENSDARG00000088835					
	ENSDARG00000088967					
	ENSDARG00000089016					
	ENSDARG00000089094					
	ENSDARG00000089331					
	ENSDARG00000089355					
	ENSDARG00000089426					
	ENSDARG00000089507					
	ENSDARG00000089742					
	ENSDARG00000089837					
	ENSDARG00000090040					
	ENSDARG00000090054					
	ENSDARG00000090077					
	ENSDARG00000090099					
	ENSDARG00000090179					
	ENSDARG00000090220					
	ENSDARG00000090538					
	ENSDARG00000091124					
	ENSDARG00000091150					
	ENSDARG00000091153					
	ENSDARG00000091376					
	ENSDARG00000091631					
	ENSDARG00000091816					
	ENSDARG00000091831					
	ENSDARG00000091902					
	ENSDARG00000092033					
	ENSDARG00000092098					
	ENSDARG00000092174					
	ENSDARG00000092181					
	ENSDARG00000092295					
	ENSDARG00000092333					
	ENSDARG00000092757					
	ENSDARG00000092823					
	ENSDARG00000093015					
	ENSDARG00000093401					
	ENSDARG00000093494					
	ENSDARG00000093517					
	ENSDARG00000093544					
	ENSDARG00000093604					
	ENSDARG00000093724					
	ENSDARG00000093894					
	ENSDARG00000094179					
	ENSDARG00000094528					
	ENSDARG00000094541					
	ENSDARG00000094612					
	ENSDARG00000094646					
	ENSDARG00000094887					
	ENSDARG00000095328					
	ENSDARG00000095434					
	ENSDARG00000095540					
	ENSDARG00000095635					
