Cleav.Blastula	Gastrula	Segmentation	Pharyngula	Larva	Juvenile	Adult
ENSDARG00000020948	ENSDARG00000011510	ENSDARG00000016763	ENSDARG00000021633	ENSDARG00000032465	ENSDARG00000042880	ENSDARG00000062228
ENSDARG00000020957	ENSDARG00000011533	ENSDARG00000016783	ENSDARG00000021808	ENSDARG00000032653	ENSDARG00000042953	ENSDARG00000062828
ENSDARG00000020986	ENSDARG00000011564	ENSDARG00000016936	ENSDARG00000021924	ENSDARG00000032705	ENSDARG00000042972	ENSDARG00000062874
ENSDARG00000021150	ENSDARG00000011683	ENSDARG00000017211	ENSDARG00000022297	ENSDARG00000032714	ENSDARG00000043173	ENSDARG00000063569
ENSDARG00000021827	ENSDARG00000011921	ENSDARG00000017354	ENSDARG00000022503	ENSDARG00000033393	ENSDARG00000043175	ENSDARG00000063613
ENSDARG00000021895	ENSDARG00000012002	ENSDARG00000017591	ENSDARG00000022531	ENSDARG00000033498	ENSDARG00000043586	ENSDARG00000067976
ENSDARG00000022260	ENSDARG00000012025	ENSDARG00000017615	ENSDARG00000022569	ENSDARG00000033556	ENSDARG00000043667	ENSDARG00000068098
ENSDARG00000022718	ENSDARG00000012261	ENSDARG00000017927	ENSDARG00000023542	ENSDARG00000034165	ENSDARG00000043729	ENSDARG00000068141
ENSDARG00000022763	ENSDARG00000012274	ENSDARG00000018004	ENSDARG00000024043	ENSDARG00000034420	ENSDARG00000043798	ENSDARG00000068288
ENSDARG00000023040	ENSDARG00000012389	ENSDARG00000018524	ENSDARG00000024492	ENSDARG00000034424	ENSDARG00000043806	ENSDARG00000068372
ENSDARG00000023362	ENSDARG00000012432	ENSDARG00000018611	ENSDARG00000024537	ENSDARG00000034930	ENSDARG00000044129	ENSDARG00000069214
ENSDARG00000023627	ENSDARG00000012495	ENSDARG00000018698	ENSDARG00000024771	ENSDARG00000035577	ENSDARG00000044276	ENSDARG00000069260
ENSDARG00000023815	ENSDARG00000012505	ENSDARG00000018820	ENSDARG00000024829	ENSDARG00000035606	ENSDARG00000044561	ENSDARG00000069281
ENSDARG00000023858	ENSDARG00000012553	ENSDARG00000018958	ENSDARG00000025017	ENSDARG00000035655	ENSDARG00000044875	ENSDARG00000069370
ENSDARG00000024967	ENSDARG00000012592	ENSDARG00000019125	ENSDARG00000025187	ENSDARG00000035765	ENSDARG00000045353	ENSDARG00000069411
ENSDARG00000025766	ENSDARG00000012674	ENSDARG00000019304	ENSDARG00000025495	ENSDARG00000035861	ENSDARG00000045391	ENSDARG00000069435
ENSDARG00000025949	ENSDARG00000012723	ENSDARG00000019473	ENSDARG00000025847	ENSDARG00000035895	ENSDARG00000045560	ENSDARG00000069707
ENSDARG00000026149	ENSDARG00000012747	ENSDARG00000019529	ENSDARG00000026165	ENSDARG00000036501	ENSDARG00000051876	ENSDARG00000069839
ENSDARG00000026534	ENSDARG00000012777	ENSDARG00000019726	ENSDARG00000026513	ENSDARG00000036584	ENSDARG00000052122	ENSDARG00000070132
ENSDARG00000026540	ENSDARG00000012788	ENSDARG00000019949	ENSDARG00000027196	ENSDARG00000036767	ENSDARG00000052176	ENSDARG00000070224
ENSDARG00000026682	ENSDARG00000012942	ENSDARG00000019963	ENSDARG00000028098	ENSDARG00000037159	ENSDARG00000052331	ENSDARG00000070368
ENSDARG00000026811	ENSDARG00000013478	ENSDARG00000020000	ENSDARG00000028148	ENSDARG00000037475	ENSDARG00000052578	ENSDARG00000070526
ENSDARG00000027397	ENSDARG00000013729	ENSDARG00000020053	ENSDARG00000028222	ENSDARG00000037495	ENSDARG00000052873	ENSDARG00000070672
ENSDARG00000027423	ENSDARG00000013800	ENSDARG00000020164	ENSDARG00000028776	ENSDARG00000037496	ENSDARG00000052905	ENSDARG00000070964
ENSDARG00000027639	ENSDARG00000013839	ENSDARG00000020219	ENSDARG00000029894	ENSDARG00000037498	ENSDARG00000052919	ENSDARG00000070997
ENSDARG00000027938	ENSDARG00000013853	ENSDARG00000020250	ENSDARG00000030058	ENSDARG00000037587	ENSDARG00000053068	ENSDARG00000071361
ENSDARG00000028391	ENSDARG00000013961	ENSDARG00000020258	ENSDARG00000030588	ENSDARG00000037588	ENSDARG00000053201	ENSDARG00000071425
ENSDARG00000028786	ENSDARG00000013990	ENSDARG00000020332	ENSDARG00000030716	ENSDARG00000037639	ENSDARG00000053207	ENSDARG00000071657
ENSDARG00000028857	ENSDARG00000014013	ENSDARG00000020373	ENSDARG00000030932	ENSDARG00000037783	ENSDARG00000053215	ENSDARG00000071879
ENSDARG00000028949	ENSDARG00000014123	ENSDARG00000020417	ENSDARG00000031086	ENSDARG00000037925	ENSDARG00000053366	ENSDARG00000073976
